solver, activation, hidden1, hidden1, PCA, class, training_accuracy, testing_accuracy,"Solve, activation, h1, h2"
lbfgs, identity,25,30, on, class2,0.732915718,0.702272727,"lbfgs,  identity, 25, 30"
lbfgs, identity,25,30, on, class3,0.507403189,0.497727273,"lbfgs,  identity, 25, 30"
lbfgs, identity,25,30, on, class4,0.423690205,0.340909091,"lbfgs,  identity, 25, 30"
lbfgs, identity,25,30, off, class1,0.906036446,0.913636364,"lbfgs,  identity, 25, 30"
lbfgs, identity,25,30, off, class2,0.718109339,0.725,"lbfgs,  identity, 25, 30"
lbfgs, identity,25,30, off, class3,0.501138952,0.5,"lbfgs,  identity, 25, 30"
lbfgs, identity,25,30, off, class4,0.420842825,0.368181818,"lbfgs,  identity, 25, 30"
lbfgs, identity,25,40, on, class1,0.911731207,0.897727273,"lbfgs,  identity, 25, 40"
lbfgs, identity,25,40, on, class2,0.714692483,0.704545455,"lbfgs,  identity, 25, 40"
lbfgs, identity,25,40, on, class3,0.511389522,0.493181818,"lbfgs,  identity, 25, 40"
lbfgs, identity,25,40, on, class4,0.419703872,0.365909091,"lbfgs,  identity, 25, 40"
lbfgs, identity,25,40, off, class1,0.912300683,0.897727273,"lbfgs,  identity, 25, 40"
lbfgs, identity,25,40, off, class2,0.731776765,0.684090909,"lbfgs,  identity, 25, 40"
lbfgs, identity,25,40, off, class3,0.522779043,0.493181818,"lbfgs,  identity, 25, 40"
lbfgs, identity,25,40, off, class4,0.420273349,0.334090909,"lbfgs,  identity, 25, 40"
lbfgs, identity,30,1, on, class1,0.910592255,0.918181818,"lbfgs,  identity, 30, 1"
lbfgs, identity,30,1, on, class2,0.739749431,0.706818182,"lbfgs,  identity, 30, 1"
lbfgs, identity,30,1, on, class3,0.466970387,0.465909091,"lbfgs,  identity, 30, 1"
lbfgs, identity,30,1, on, class4,0.217539863,0.204545455,"lbfgs,  identity, 30, 1"
lbfgs, identity,30,1, off, class1,0.904897494,0.938636364,"lbfgs,  identity, 30, 1"
lbfgs, identity,30,1, off, class2,0.730068337,0.720454545,"lbfgs,  identity, 30, 1"
lbfgs, identity,30,1, off, class3,0.468109339,0.470454545,"lbfgs,  identity, 30, 1"
lbfgs, identity,30,1, off, class4,0.23405467,0.197727273,"lbfgs,  identity, 30, 1"
lbfgs, identity,30,15, on, class1,0.915148064,0.897727273,"lbfgs,  identity, 30, 15"
lbfgs, identity,30,15, on, class2,0.723234624,0.743181818,"lbfgs,  identity, 30, 15"
lbfgs, identity,30,15, on, class3,0.510250569,0.5,"lbfgs,  identity, 30, 15"
lbfgs, identity,30,15, on, class4,0.414578588,0.363636364,"lbfgs,  identity, 30, 15"
lbfgs, identity,30,15, off, class1,0.914578588,0.890909091,"lbfgs,  identity, 30, 15"
lbfgs, identity,30,15, off, class2,0.717539863,0.711363636,"lbfgs,  identity, 30, 15"
lbfgs, identity,30,15, off, class3,0.519931663,0.488636364,"lbfgs,  identity, 30, 15"
lbfgs, identity,30,15, off, class4,0.409453303,0.4,"lbfgs,  identity, 30, 15"
lbfgs, identity,30,25, on, class1,0.910022779,0.918181818,"lbfgs,  identity, 30, 25"
lbfgs, identity,30,25, on, class2,0.723234624,0.695454545,"lbfgs,  identity, 30, 25"
lbfgs, identity,30,25, on, class3,0.51309795,0.45,"lbfgs,  identity, 30, 25"
lbfgs, identity,30,25, on, class4,0.420842825,0.334090909,"lbfgs,  identity, 30, 25"
lbfgs, identity,30,25, off, class1,0.914009112,0.9,"lbfgs,  identity, 30, 25"
lbfgs, identity,30,25, off, class2,0.730068337,0.679545455,"lbfgs,  identity, 30, 25"
lbfgs, identity,30,25, off, class3,0.51309795,0.488636364,"lbfgs,  identity, 30, 25"
lbfgs, identity,30,25, off, class4,0.420842825,0.347727273,"lbfgs,  identity, 30, 25"
lbfgs, identity,30,30, on, class1,0.911731207,0.909090909,"lbfgs,  identity, 30, 30"
lbfgs, identity,30,30, on, class2,0.72095672,0.702272727,"lbfgs,  identity, 30, 30"
lbfgs, identity,30,30, on, class3,0.513667426,0.475,"lbfgs,  identity, 30, 30"
lbfgs, identity,30,30, on, class4,0.417995444,0.352272727,"lbfgs,  identity, 30, 30"
lbfgs, identity,30,30, off, class1,0.908883827,0.915909091,"lbfgs,  identity, 30, 30"
lbfgs, identity,30,30, off, class2,0.720387244,0.738636364,"lbfgs,  identity, 30, 30"
lbfgs, identity,30,30, off, class3,0.514806378,0.511363636,"lbfgs,  identity, 30, 30"
lbfgs, identity,30,30, off, class4,0.412870159,0.4,"lbfgs,  identity, 30, 30"
lbfgs, identity,30,40, on, class1,0.913439636,0.9,"lbfgs,  identity, 30, 40"
lbfgs, identity,30,40, on, class2,0.733485194,0.688636364,"lbfgs,  identity, 30, 40"
lbfgs, identity,30,40, on, class3,0.505694761,0.5,"lbfgs,  identity, 30, 40"
lbfgs, identity,30,40, on, class4,0.419134396,0.372727273,"lbfgs,  identity, 30, 40"
lbfgs, identity,30,40, off, class1,0.909453303,0.913636364,"lbfgs,  identity, 30, 40"
lbfgs, identity,30,40, off, class2,0.718678815,0.718181818,"lbfgs,  identity, 30, 40"
lbfgs, identity,30,40, off, class3,0.51309795,0.504545455,"lbfgs,  identity, 30, 40"
lbfgs, identity,30,40, off, class4,0.412300683,0.35,"lbfgs,  identity, 30, 40"
lbfgs, identity,40,1, on, class1,0.906605923,0.922727273,"lbfgs,  identity, 40, 1"
lbfgs, identity,40,1, on, class2,0.720387244,0.745454545,"lbfgs,  identity, 40, 1"
lbfgs, identity,40,1, on, class3,0.47095672,0.434090909,"lbfgs,  identity, 40, 1"
lbfgs, identity,40,1, on, class4,0.203872437,0.204545455,"lbfgs,  identity, 40, 1"
lbfgs, identity,40,1, off, class1,0.913439636,0.897727273,"lbfgs,  identity, 40, 1"
lbfgs, identity,40,1, off, class2,0.715261959,0.729545455,"lbfgs,  identity, 40, 1"
lbfgs, identity,40,1, off, class3,0.468678815,0.470454545,"lbfgs,  identity, 40, 1"
lbfgs, identity,40,1, off, class4,0.239179954,0.263636364,"lbfgs,  identity, 40, 1"
lbfgs, identity,40,15, on, class1,0.913439636,0.902272727,"lbfgs,  identity, 40, 15"
lbfgs, identity,40,15, on, class2,0.727220957,0.677272727,"lbfgs,  identity, 40, 15"
lbfgs, identity,40,15, on, class3,0.507972665,0.495454545,"lbfgs,  identity, 40, 15"
lbfgs, identity,40,15, on, class4,0.423120729,0.368181818,"lbfgs,  identity, 40, 15"
lbfgs, identity,40,15, off, class1,0.906605923,0.913636364,"lbfgs,  identity, 40, 15"
lbfgs, identity,40,15, off, class2,0.731207289,0.711363636,"lbfgs,  identity, 40, 15"
lbfgs, identity,40,15, off, class3,0.514806378,0.463636364,"lbfgs,  identity, 40, 15"
lbfgs, identity,40,15, off, class4,0.427107062,0.345454545,"lbfgs,  identity, 40, 15"
lbfgs, identity,40,25, on, class1,0.913439636,0.897727273,"lbfgs,  identity, 40, 25"
lbfgs, identity,40,25, on, class2,0.732346241,0.706818182,"lbfgs,  identity, 40, 25"
lbfgs, identity,40,25, on, class3,0.511389522,0.509090909,"lbfgs,  identity, 40, 25"
lbfgs, identity,40,25, on, class4,0.427676538,0.372727273,"lbfgs,  identity, 40, 25"
lbfgs, identity,40,25, off, class1,0.916287016,0.897727273,"lbfgs,  identity, 40, 25"
lbfgs, identity,40,25, off, class2,0.723234624,0.722727273,"lbfgs,  identity, 40, 25"
lbfgs, identity,40,25, off, class3,0.514806378,0.452272727,"lbfgs,  identity, 40, 25"
lbfgs, identity,40,25, off, class4,0.404897494,0.384090909,"lbfgs,  identity, 40, 25"
lbfgs, identity,40,30, on, class1,0.91571754,0.895454545,"lbfgs,  identity, 40, 30"
lbfgs, identity,40,30, on, class2,0.724373576,0.715909091,"lbfgs,  identity, 40, 30"
lbfgs, identity,40,30, on, class3,0.514806378,0.463636364,"lbfgs,  identity, 40, 30"
lbfgs, identity,40,30, on, class4,0.419134396,0.352272727,"lbfgs,  identity, 40, 30"
lbfgs, identity,40,30, off, class1,0.908883827,0.920454545,"lbfgs,  identity, 40, 30"
lbfgs, identity,40,30, off, class2,0.724943052,0.731818182,"lbfgs,  identity, 40, 30"
lbfgs, identity,40,30, off, class3,0.510820046,0.479545455,"lbfgs,  identity, 40, 30"
lbfgs, identity,40,30, off, class4,0.411161731,0.388636364,"lbfgs,  identity, 40, 30"
lbfgs, identity,40,40, on, class1,0.911731207,0.895454545,"lbfgs,  identity, 40, 40"
lbfgs, identity,40,40, on, class2,0.724943052,0.7,"lbfgs,  identity, 40, 40"
lbfgs, identity,40,40, on, class3,0.510820046,0.490909091,"lbfgs,  identity, 40, 40"
lbfgs, identity,40,40, on, class4,0.41571754,0.343181818,"lbfgs,  identity, 40, 40"
lbfgs, identity,40,40, off, class1,0.916856492,0.886363636,"lbfgs,  identity, 40, 40"
lbfgs, identity,40,40, off, class2,0.726651481,0.702272727,"lbfgs,  identity, 40, 40"
lbfgs, identity,40,40, off, class3,0.503986333,0.506818182,"lbfgs,  identity, 40, 40"
lbfgs, identity,40,40, off, class4,0.434510251,0.363636364,"lbfgs,  identity, 40, 40"
lbfgs, logistic,15,1, on, class1,0.990888383,0.861363636,"lbfgs,  logistic, 15, 1"
lbfgs, logistic,15,1, on, class2,0.888382688,0.718181818,"lbfgs,  logistic, 15, 1"
lbfgs, logistic,15,1, on, class3,0.647494305,0.495454545,"lbfgs,  logistic, 15, 1"
lbfgs, logistic,15,1, on, class4,0.406036446,0.272727273,"lbfgs,  logistic, 15, 1"
lbfgs, logistic,15,1, off, class1,0.987471526,0.847727273,"lbfgs,  logistic, 15, 1"
lbfgs, logistic,15,1, off, class2,0.916856492,0.747727273,"lbfgs,  logistic, 15, 1"
lbfgs, logistic,15,1, off, class3,0.63952164,0.486363636,"lbfgs,  logistic, 15, 1"
lbfgs, logistic,15,1, off, class4,0.429384966,0.229545455,"lbfgs,  logistic, 15, 1"
lbfgs, logistic,15,15, on, class1,1,0.856818182,"lbfgs,  logistic, 15, 15"
lbfgs, logistic,15,15, on, class2,0.998861048,0.775,"lbfgs,  logistic, 15, 15"
lbfgs, logistic,15,15, on, class3,0.884965831,0.543181818,"lbfgs,  logistic, 15, 15"
lbfgs, logistic,15,15, on, class4,0.772209567,0.415909091,"lbfgs,  logistic, 15, 15"
lbfgs, logistic,15,15, off, class1,0.998291572,0.888636364,"lbfgs,  logistic, 15, 15"
lbfgs, logistic,15,15, off, class2,0.998291572,0.761363636,"lbfgs,  logistic, 15, 15"
lbfgs, logistic,15,15, off, class3,0.891230068,0.461363636,"lbfgs,  logistic, 15, 15"
lbfgs, logistic,15,15, off, class4,0.77904328,0.429545455,"lbfgs,  logistic, 15, 15"
lbfgs, logistic,15,25, on, class1,0.997722096,0.884090909,"lbfgs,  logistic, 15, 25"
lbfgs, logistic,15,25, on, class2,1,0.781818182,"lbfgs,  logistic, 15, 25"
lbfgs, logistic,15,25, on, class3,0.961275626,0.534090909,"lbfgs,  logistic, 15, 25"
lbfgs, logistic,15,25, on, class4,0.882118451,0.470454545,"lbfgs,  logistic, 15, 25"
lbfgs, logistic,15,25, off, class1,1,0.863636364,"lbfgs,  logistic, 15, 25"
lbfgs, logistic,15,25, off, class2,0.999430524,0.765909091,"lbfgs,  logistic, 15, 25"
lbfgs, logistic,15,25, off, class3,0.934510251,0.568181818,"lbfgs,  logistic, 15, 25"
lbfgs, logistic,15,25, off, class4,0.898063781,0.443181818,"lbfgs,  logistic, 15, 25"
lbfgs, logistic,15,30, on, class1,1,0.893181818,"lbfgs,  logistic, 15, 30"
lbfgs, logistic,15,30, on, class2,1,0.786363636,"lbfgs,  logistic, 15, 30"
lbfgs, logistic,15,30, on, class3,0.994874715,0.515909091,"lbfgs,  logistic, 15, 30"
lbfgs, logistic,15,30, on, class4,0.923690205,0.425,"lbfgs,  logistic, 15, 30"
lbfgs, logistic,15,30, off, class1,0.993166287,0.868181818,"lbfgs,  logistic, 15, 30"
lbfgs, logistic,15,30, off, class2,1,0.761363636,"lbfgs,  logistic, 15, 30"
lbfgs, logistic,15,30, off, class3,0.979498861,0.534090909,"lbfgs,  logistic, 15, 30"
lbfgs, logistic,15,30, off, class4,0.912300683,0.461363636,"lbfgs,  logistic, 15, 30"
lbfgs, logistic,15,40, on, class1,1,0.872727273,"lbfgs,  logistic, 15, 40"
lbfgs, logistic,15,40, on, class2,0.999430524,0.747727273,"lbfgs,  logistic, 15, 40"
lbfgs, logistic,15,40, on, class3,1,0.495454545,"lbfgs,  logistic, 15, 40"
lbfgs, logistic,15,40, on, class4,0.992596811,0.472727273,"lbfgs,  logistic, 15, 40"
lbfgs, logistic,15,40, off, class1,1,0.875,"lbfgs,  logistic, 15, 40"
lbfgs, logistic,15,40, off, class2,1,0.795454545,"lbfgs,  logistic, 15, 40"
lbfgs, logistic,15,40, off, class3,0.945899772,0.575,"lbfgs,  logistic, 15, 40"
lbfgs, logistic,15,40, off, class4,0.999430524,0.404545455,"lbfgs,  logistic, 15, 40"
lbfgs, logistic,25,1, on, class1,0.916287016,0.879545455,"lbfgs,  logistic, 25, 1"
lbfgs, logistic,25,1, on, class2,0.955580866,0.790909091,"lbfgs,  logistic, 25, 1"
lbfgs, logistic,25,1, on, class3,0.751138952,0.475,"lbfgs,  logistic, 25, 1"
lbfgs, logistic,25,1, on, class4,0.51594533,0.256818182,"lbfgs,  logistic, 25, 1"
lbfgs, logistic,25,1, off, class1,0.987471526,0.865909091,"lbfgs,  logistic, 25, 1"
lbfgs, logistic,25,1, off, class2,0.99715262,0.8,"lbfgs,  logistic, 25, 1"
lbfgs, logistic,25,1, off, class3,0.75,0.488636364,"lbfgs,  logistic, 25, 1"
lbfgs, logistic,25,1, off, class4,0.505125285,0.272727273,"lbfgs,  logistic, 25, 1"
lbfgs, logistic,25,15, on, class1,1,0.875,"lbfgs,  logistic, 25, 15"
lbfgs, logistic,25,15, on, class2,0.999430524,0.804545455,"lbfgs,  logistic, 25, 15"
lbfgs, logistic,25,15, on, class3,0.952733485,0.477272727,"lbfgs,  logistic, 25, 15"
lbfgs, logistic,25,15, on, class4,0.880979499,0.420454545,"lbfgs,  logistic, 25, 15"
lbfgs, logistic,25,15, off, class1,1,0.872727273,"lbfgs,  logistic, 25, 15"
lbfgs, logistic,25,15, off, class2,1,0.765909091,"lbfgs,  logistic, 25, 15"
lbfgs, logistic,25,15, off, class3,0.949316629,0.543181818,"lbfgs,  logistic, 25, 15"
lbfgs, logistic,25,15, off, class4,0.911731207,0.440909091,"lbfgs,  logistic, 25, 15"
lbfgs, logistic,25,25, on, class1,1,0.856818182,"lbfgs,  logistic, 25, 25"
lbfgs, logistic,25,25, on, class2,1,0.734090909,"lbfgs,  logistic, 25, 25"
lbfgs, logistic,25,25, on, class3,0.997722096,0.545454545,"lbfgs,  logistic, 25, 25"
lbfgs, logistic,25,25, on, class4,0.998291572,0.404545455,"lbfgs,  logistic, 25, 25"
lbfgs, logistic,25,25, off, class1,1,0.9,"lbfgs,  logistic, 25, 25"
lbfgs, logistic,25,25, off, class2,1,0.765909091,"lbfgs,  logistic, 25, 25"
lbfgs, logistic,25,25, off, class3,1,0.547727273,"lbfgs,  logistic, 25, 25"
lbfgs, logistic,25,25, off, class4,1,0.429545455,"lbfgs,  logistic, 25, 25"
lbfgs, logistic,25,30, on, class1,1,0.906818182,"lbfgs,  logistic, 25, 30"
lbfgs, logistic,25,30, on, class2,0.998291572,0.747727273,"lbfgs,  logistic, 25, 30"
lbfgs, logistic,25,30, on, class3,0.993735763,0.536363636,"lbfgs,  logistic, 25, 30"
lbfgs, logistic,25,30, on, class4,1,0.470454545,"lbfgs,  logistic, 25, 30"
lbfgs, logistic,25,30, off, class1,1,0.85,"lbfgs,  logistic, 25, 30"
lbfgs, logistic,25,30, off, class2,1,0.763636364,"lbfgs,  logistic, 25, 30"
lbfgs, logistic,25,30, off, class3,1,0.475,"lbfgs,  logistic, 25, 30"
lbfgs, logistic,25,30, off, class4,1,0.420454545,"lbfgs,  logistic, 25, 30"
lbfgs, logistic,25,40, on, class1,1,0.886363636,"lbfgs,  logistic, 25, 40"
lbfgs, logistic,25,40, on, class2,1,0.806818182,"lbfgs,  logistic, 25, 40"
lbfgs, logistic,25,40, on, class3,1,0.545454545,"lbfgs,  logistic, 25, 40"
lbfgs, logistic,25,40, on, class4,1,0.427272727,"lbfgs,  logistic, 25, 40"
lbfgs, logistic,25,40, off, class1,1,0.879545455,"lbfgs,  logistic, 25, 40"
lbfgs, logistic,25,40, off, class2,0.999430524,0.731818182,"lbfgs,  logistic, 25, 40"
lbfgs, logistic,25,40, off, class3,1,0.572727273,"lbfgs,  logistic, 25, 40"
lbfgs, logistic,25,40, off, class4,1,0.456818182,"lbfgs,  logistic, 25, 40"
lbfgs, logistic,30,1, on, class1,0.94476082,0.85,"lbfgs,  logistic, 30, 1"
lbfgs, logistic,30,1, on, class2,0.978359909,0.740909091,"lbfgs,  logistic, 30, 1"
lbfgs, logistic,30,1, on, class3,0.843963554,0.486363636,"lbfgs,  logistic, 30, 1"
lbfgs, logistic,30,1, on, class4,0.556378132,0.215909091,"lbfgs,  logistic, 30, 1"
lbfgs, logistic,30,1, off, class1,0.976082005,0.861363636,"lbfgs,  logistic, 30, 1"
lbfgs, logistic,30,1, off, class2,0.969248292,0.763636364,"lbfgs,  logistic, 30, 1"
lbfgs, logistic,30,1, off, class3,0.846241458,0.477272727,"lbfgs,  logistic, 30, 1"
lbfgs, logistic,30,1, off, class4,0.582574032,0.231818182,"lbfgs,  logistic, 30, 1"
lbfgs, logistic,30,15, on, class1,0.998861048,0.834090909,"lbfgs,  logistic, 30, 15"
lbfgs, logistic,30,15, on, class2,1,0.795454545,"lbfgs,  logistic, 30, 15"
lbfgs, logistic,30,15, on, class3,0.987471526,0.572727273,"lbfgs,  logistic, 30, 15"
lbfgs, logistic,30,15, on, class4,0.965831435,0.418181818,"lbfgs,  logistic, 30, 15"
lbfgs, logistic,30,15, off, class1,0.999430524,0.881818182,"lbfgs,  logistic, 30, 15"
lbfgs, logistic,30,15, off, class2,1,0.765909091,"lbfgs,  logistic, 30, 15"
lbfgs, logistic,30,15, off, class3,0.996013667,0.527272727,"lbfgs,  logistic, 30, 15"
lbfgs, logistic,30,15, off, class4,0.947038724,0.445454545,"lbfgs,  logistic, 30, 15"
lbfgs, logistic,30,25, on, class1,1,0.879545455,"lbfgs,  logistic, 30, 25"
lbfgs, logistic,30,25, on, class2,1,0.795454545,"lbfgs,  logistic, 30, 25"
lbfgs, logistic,30,25, on, class3,1,0.522727273,"lbfgs,  logistic, 30, 25"
lbfgs, logistic,30,25, on, class4,1,0.397727273,"lbfgs,  logistic, 30, 25"
lbfgs, logistic,30,25, off, class1,1,0.893181818,"lbfgs,  logistic, 30, 25"
