E_1,E_2,E_3,E_4,E_5,Era_1,Era_2,Era_3,Era_4,Era_5,Erd_1,Erd_2,Erd_3,Erd_4,Erd_5,Erd_6,Erd_7,Erd_8,Erd_9,Erd_10,Erd_11,Erd_12,Erd_13,Erd_14,Erd_15,class1,class2,class3,class4
103.173987863581,103.127018795475,103.087297010186,103.160965147253,103.241347966108,0.999949589648575,0.999964629716697,0.999957931352375,0.999960772889558,0.999953410421098,6.94766437094608e-06,5.36907528553381e-06,7.08122252692764e-06,6.28514128929188e-06,6.1492537551182e-06,1.29588118734361e-05,5.47091374952511e-06,1.28208093880947e-05,6.6825950094312e-06,1.27494527106898e-05,7.57917484595065e-06,4.46536774635336e-06,5.81171792918841e-06,5.24282417687045e-06,6.63320160401136e-06,abnormal,facial,eyes,close eye
103.161692432791,103.124560148953,103.084279307384,103.090106318391,103.105616711673,0.999962283957132,0.999974622176711,0.999966954996816,0.999971253356422,0.999964604502787,1.74906737514716e-06,8.7019107181207e-07,2.29061965686258e-06,1.63001684739923e-06,1.62909654490313e-06,7.36997897429237e-06,1.3223896022841e-06,1.00136791090422e-05,2.18386212759654e-06,7.48799097431998e-06,3.92537336087575e-06,1.76718586545911e-06,3.77780090509926e-06,2.12452163364924e-06,2.91340646325041e-06,abnormal,facial,eyes,close eye
103.201742441088,103.079066155015,103.081726066471,103.185530654126,103.271448465828,0.999937178073289,0.999946919865515,0.999936855172076,0.999944509660281,0.999942403314417,7.52456371267719e-06,6.62528290435183e-06,7.92947136250616e-06,7.04968483638196e-06,6.71162230178766e-06,1.53084378417939e-05,9.27775417309272e-06,1.66635332523897e-05,1.03693208800966e-05,1.44957850534618e-05,8.36324999678208e-06,7.27287712762335e-06,1.09696560944194e-05,7.65809789786165e-06,7.78108295596891e-06,abnormal,facial,eyes,close eye
103.19105376423,103.13660474371,103.101899315145,103.194427459909,103.197713446638,0.999968127393048,0.999981289357481,0.999968556686961,0.999978091556393,0.999971288009196,3.75661699853635e-06,2.57471187807954e-06,3.97989583001646e-06,3.02711880735663e-06,3.46332281564598e-06,1.23597729359271e-05,5.51201846135222e-06,1.46286655205443e-05,7.29119048019587e-06,1.20124818203221e-05,9.36139940659316e-06,5.35547534571547e-06,8.88050317693214e-06,5.9629004530984e-06,7.23991472195134e-06,abnormal,facial,eyes,close eye
103.201231516844,103.113377386793,103.094602377139,103.142960744826,103.276553836493,0.999963400640402,0.99997589011426,0.999972254779367,0.999971997105455,0.999965902496033,6.47682952137033e-06,4.81182669718087e-06,5.44924405756644e-06,5.47485548850879e-06,5.75837418215193e-06,1.29192103033536e-05,5.54120427800725e-06,9.3706371963078e-06,7.72580843659494e-06,1.27314642866908e-05,8.99928311620989e-06,6.83923253055502e-06,7.49480330040317e-06,7.50257527434882e-06,8.06988095609082e-06,abnormal,facial,eyes,close eye
103.198946667351,103.120085681844,103.096025908201,103.058021268702,103.148931634137,0.999972079246542,0.999977717491767,0.999969101093817,0.999976325857246,0.999973224043233,4.73716025186452e-06,4.16947672103332e-06,5.60586235679351e-06,4.21679950484695e-06,4.36122650815528e-06,7.29355952971934e-06,5.00488082016185e-06,1.24632076535294e-05,5.19735790500458e-06,7.12221587781943e-06,7.51103417773644e-06,5.95152725317167e-06,7.31764890866579e-06,6.60827239449622e-06,7.18443448214165e-06,abnormal,facial,eyes,close eye
103.146447800895,103.095215978575,103.095914542928,103.152913993134,103.21058218627,0.999976389327035,0.999986261078285,0.999976431238049,0.999983612301865,0.999977585970178,3.92090127828879e-06,2.83313369271682e-06,4.4114927224903e-06,3.54604713241747e-06,3.63625713492425e-06,1.06213588081709e-05,4.6010252851405e-06,1.19645165625855e-05,6.13798440268202e-06,1.12171821713095e-05,6.41803549765926e-06,4.06806474886213e-06,5.24325124800338e-06,4.40278787450842e-06,5.01973346839883e-06,abnormal,facial,eyes,close eye
103.071660277373,103.124391865092,103.114226818684,102.979999514361,103.174076378165,0.999967403862694,0.999989266543973,0.999983029182096,0.999976232107893,0.999968741968176,3.70538575780171e-06,2.35811739306537e-06,3.33851849186085e-06,3.94215341192796e-06,3.63362557994374e-06,9.62717109314779e-06,3.45483765972995e-06,8.54764414962224e-06,9.27051119954841e-06,9.34006040904583e-06,1.60156096127525e-05,2.48766506475787e-06,3.08173739100032e-06,7.67629053404808e-06,1.54023116839316e-05,abnormal,facial,eyes,close eye
103.164884189627,103.097242840838,103.05924832955,103.019205342468,103.112493515823,0.999973386702931,0.999984113703014,0.999969616996,0.999971935543964,0.999974703324131,6.42489880990266e-06,5.1365027250516e-06,6.63839795548524e-06,7.1413344710369e-06,6.03343534871861e-06,8.82929942381468e-06,3.27528158959703e-06,1.42481097626325e-05,8.45817878896808e-06,8.97762563425657e-06,6.64894526864866e-06,3.64338601039377e-06,6.19571377422449e-06,8.09619045866728e-06,5.81902633503261e-06,abnormal,facial,eyes,close eye
103.189431588492,103.117668282082,103.081889829318,103.270437862201,103.221760032488,0.999972261157106,0.99998298764798,0.999969738870973,0.999981115433099,0.999973844577251,3.18291095360836e-06,2.2600233834042e-06,4.75198779040671e-06,2.60248408825864e-06,3.04040014506549e-06,9.75761635253583e-06,2.85607260659441e-06,1.45290623748534e-05,3.85293817670879e-06,9.40530973656306e-06,4.0105411644238e-06,2.54178111371151e-06,3.7689050461684e-06,2.92675902535763e-06,3.85912418402296e-06,abnormal,facial,eyes,close eye
