E_1,E_2,E_3,E_4,E_5,Era_1,Era_2,Era_3,Era_4,Era_5,Erd_1,Erd_2,Erd_3,Erd_4,Erd_5,Erd_6,Erd_7,Erd_8,Erd_9,Erd_10,Erd_11,Erd_12,Erd_13,Erd_14,Erd_15,class1,class2,class3,class4
103.171789486409,103.125035157405,103.087000242176,103.159860523577,103.23937502957,0.999981761812983,0.999990265907262,0.999984219671919,0.999989007362358,0.999982846892575,1.50636251200596e-06,7.47801865978033e-07,1.41746160149801e-06,9.18118247045218e-07,1.35220703931131e-06,8.8541915886101e-06,3.51389860225956e-06,8.69007140057943e-06,4.36937990674087e-06,8.94718863710487e-06,5.50070242887634e-06,2.95615384629569e-06,3.99194506950906e-06,3.30533992025066e-06,4.64585615831744e-06,abnormal,facial,eyes,close eye
103.161442672212,103.124425951341,103.083528659003,103.089712303009,103.105111754758,0.999988347217283,0.99999414551266,0.999987150768816,0.999993280929226,0.999989087094327,1.03449211051963e-06,4.59397411987059e-07,1.05108133981147e-06,5.17646441448623e-07,9.89692623878536e-07,4.87372126804266e-06,1.00189361506784e-06,7.11544751038992e-06,1.60061081485858e-06,5.07453099525623e-06,3.20130088767757e-06,1.67734171627219e-06,3.08832467561137e-06,1.97084670633313e-06,2.38441276100032e-06,abnormal,facial,eyes,close eye
103.199980268515,103.07739177839,103.079914602976,103.183720820436,103.270087623588,0.999979138413243,0.999984653108132,0.999975552563666,0.999982982503886,0.999980666541376,2.33882318950892e-06,1.97911578022395e-06,3.20564630238882e-06,2.1937916626715e-06,2.1536111288154e-06,9.81435983316514e-06,5.5492472398147e-06,1.0729203605674e-05,6.63328519451217e-06,9.27624010801162e-06,7.1760223911581e-06,6.36069618018153e-06,9.20312986240164e-06,6.71486324294154e-06,6.61118234352998e-06,abnormal,facial,eyes,close eye
103.192154058823,103.137752328481,103.102957786463,103.195548504542,103.19848465507,0.999981610345519,0.999990343506909,0.999979697071646,0.999988187572085,0.999983626175819,1.32656117802833e-06,7.69879315107442e-07,1.67925010261442e-06,9.06210473396876e-07,1.22025572421752e-06,8.73473789504418e-06,3.83816484507648e-06,1.04343602303286e-05,5.162211125702e-06,8.46435940717947e-06,7.87306092998175e-06,4.65346091225002e-06,7.86748625617161e-06,5.31496584044506e-06,6.24809990933901e-06,abnormal,facial,eyes,close eye
103.200218099754,103.112623650615,103.094012521219,103.141820692663,103.275758771091,0.999980415552894,0.999988185349173,0.999984346796524,0.999985613781261,0.999981520238408,2.24988583224321e-06,1.33644354498792e-06,1.64170862402746e-06,1.67398812294949e-06,2.06643313601963e-06,8.49178337578274e-06,3.68947164394974e-06,6.67443784413822e-06,5.22606264454227e-06,8.5019584937513e-06,8.30413078901896e-06,6.31523175170571e-06,6.97554622923339e-06,6.99738206981579e-06,7.40785523652374e-06,abnormal,facial,eyes,close eye
103.199468284417,103.120236990263,103.096227130253,103.057970207145,103.149109426343,0.999986037703903,0.999989758933752,0.999982683303932,0.999989053626362,0.99998680936878,1.39294775055027e-06,1.09607715100156e-06,1.83541003381648e-06,1.27478812915342e-06,1.35879553592401e-06,5.34065112692991e-06,3.45557919029922e-06,9.16044413923228e-06,3.55961535387774e-06,5.01639287565564e-06,6.53988113075926e-06,5.09152808575187e-06,5.9350241230532e-06,5.52133846907596e-06,6.16896649213075e-06,abnormal,facial,eyes,close eye
103.147002655356,103.09544714287,103.096189884829,103.152797456031,103.211214443775,0.99998424293107,0.999992004018581,0.999984818520505,0.999989989323529,0.999985330032353,1.62642138030602e-06,9.68968121823513e-07,1.82881689548291e-06,1.38080777175433e-06,1.54418407144041e-06,8.23682072181172e-06,3.18146028308555e-06,8.72416705018006e-06,4.47939168370132e-06,8.56089706781543e-06,5.64131136349826e-06,3.66334295097706e-06,4.38947585287549e-06,3.92782319192886e-06,4.3291739025113e-06,abnormal,facial,eyes,close eye
103.071911147926,103.124294101732,103.114167005847,102.978577349206,103.173391210213,0.999976033968696,0.999994557483722,0.999989449921849,0.999983706345461,0.999977158463793,1.407294959106e-06,6.46266590177733e-07,1.20883885995431e-06,1.90486518596708e-06,1.36703491584795e-06,7.30602910174782e-06,2.43534514024372e-06,6.170504653762e-06,6.52595842816302e-06,7.09675678476232e-06,1.49980442484449e-05,2.1879062246161e-06,2.97721955599273e-06,7.61873472099955e-06,1.41398808032481e-05,abnormal,facial,eyes,close eye
103.162805292677,103.095348418504,103.057995349432,103.01798872809,103.110855237512,0.999985696015379,0.999993500527617,0.999982466251838,0.999984605719392,0.999986026128683,1.87075314829581e-06,1.11903461221511e-06,2.23916908422881e-06,2.63716560075044e-06,1.76720120521925e-06,6.68009612117116e-06,2.25713304871552e-06,1.00877074319324e-05,5.89915883224707e-06,7.12241163453463e-06,5.40003000927721e-06,2.85662139716039e-06,4.9119934442675e-06,6.57153542803699e-06,4.75904673948783e-06,abnormal,facial,eyes,close eye
103.189577199816,103.117434962753,103.081983183874,103.270682082114,103.221949678085,0.999987262700039,0.9999938530186,0.999983114758442,0.999992585550937,0.999987748747953,1.03751291475483e-06,5.02060895915401e-07,1.90256690025104e-06,6.62003428855545e-07,1.01805712144291e-06,6.94575665297533e-06,2.21121927687778e-06,1.12519615278277e-05,3.03901823452128e-06,6.78583496607249e-06,3.87198015825748e-06,2.49038273976849e-06,3.26476704233328e-06,2.81189514217914e-06,3.63538766440315e-06,abnormal,facial,eyes,close eye
103.141729459314,103.107250918426,103.088835335863,102.949099927198,103.037412569622,0.999984308121746,0.999990866370794,0.99998525451914,0.99998919726043,0.999983893137131,1.80553787646225e-06,1.17653814574744e-06,1.61593899221396e-06,1.38117481208777e-06,1.78860143238552e-06,7.63115630944098e-06,2.28627239486902e-06,6.8065543089153e-06,3.278043833758e-06,7.67858661356535e-06,4.90378891483026e-06,4.48611674505928e-06,5.50241520172532e-06,4.95080615381973e-06,5.44415385229961e-06,abnormal,facial,eyes,close eye
103.195307504405,103.124129812808,103.09638534921,103.197011356422,103.149349133904,0.99998749440308,0.999993558293693,0.999983505537925,0.999988956337801,0.999987149460356,1.44181402484731e-06,8.53153078256962e-07,2.01664647645619e-06,1.2966532704519e-06,1.46977793289988e-06,5.04417894528035e-06,1.94058779902908e-06,8.83583124023855e-06,3.14303446876004e-06,5.28322726188407e-06,5.79275413380077e-06,3.47640044865013e-06,5.41912584885416e-06,6.40092926848491e-06,5.88285406467597e-06,abnormal,facial,eyes,close eye
103.185930460203,103.113427742387,103.078909254271,103.096973139938,103.166737019876,0.999989086078254,0.999994313469506,0.999987557994234,0.999992406373044,0.99998889364903,9.40016718031012e-07,4.81308266968239e-07,1.10386683575854e-06,6.78886306217458e-07,9.68522973663232e-07,4.361333117703e-06,8.94597443374274e-07,6.49419729787283e-06,2.12550029643449e-06,5.16501628431269e-06,2.29044219053826e-06,9.28089797177019e-07,2.77481770581636e-06,1.39819970742798e-06,1.86827240739103e-06,abnormal,facial,eyes,close eye
103.166236227464,103.112073980266,103.087936881554,103.100105111495,103.159931006867,0.999986353055037,0.999992255189036,0.999986937625269,0.999991324371585,0.999987073173731,1.24306259014343e-06,6.18659982889203e-07,9.60460929264429e-07,7.29164389438274e-07,1.26010248120546e-06,3.81122622885732e-06,9.64654547783726e-07,6.71352172656902e-06,1.51323313283249e-06,3.92397288786026e-06,3.08116722152236e-06,7.00462951888388e-07,2.00092129330778e-06,9.9088783579504e-07,2.66726561371803e-06,abnormal,facial,eyes,close eye
103.16568865713,103.104350383152,103.073301605509,103.089753014106,103.158447776295,0.999987344912993,0.999992318267616,0.999987176754794,0.999991174124259,0.999987282096348,1.33297789622307e-06,6.96359457474789e-07,1.200085085726e-06,8.17374100782734e-07,1.27077511207448e-06,3.9672110690972e-06,9.10145628305945e-07,5.99450640321988e-06,1.64693161290478e-06,4.70339662746064e-06,1.94520403433973e-06,8.75056016325534e-07,2.17441783942274e-06,1.23604136512156e-06,1.83376542715777e-06,abnormal,facial,eyes,close eye
103.139399875697,103.112004120573,103.091969855821,103.103930217971,103.094411072025,0.999983075609287,0.999995498220545,0.999987016529441,0.999994365545908,0.999983804134827,1.02738246030462e-06,4.64681688472532e-07,1.23063314253847e-06,4.60684546891698e-07,1.09430453300886e-06,8.69933826717372e-06,1.39613065529672e-06,6.38813835236638e-06,2.13450649273005e-06,9.18045354457239e-06,6.53988471193204e-06,1.88627288066437e-06,4.72694526926644e-06,2.29796440583322e-06,5.32187185254242e-06,abnormal,facial,eyes,close eye
103.186706902923,103.112506125263,103.112897323258,103.138776651094,103.188937825789,0.999971478999771,0.999979305847709,0.999968718955284,0.999960327527319,0.99997322915939,4.65774236094812e-06,3.86013914455806e-06,4.49144253848923e-06,4.65283195433277e-06,4.37678264338934e-06,1.22391407515855e-05,8.46149865360359e-06,1.49859346524735e-05,1.30145397589843e-05,1.18279273089461e-05,9.21028928184418e-06,6.04324251853148e-06,9.67727952659508e-06,1.93318146068918e-05,8.28415180543472e-06,abnormal,facial,eyes,close eye
