E_1,E_2,E_3,E_4,E_5,Era_1,Era_2,Era_3,Era_4,Era_5,Erd_1,Erd_2,Erd_3,Erd_4,Erd_5,Erd_6,Erd_7,Erd_8,Erd_9,Erd_10,Erd_11,Erd_12,Erd_13,Erd_14,Erd_15,mainclass
103.084973139204,103.107301550935,103.075704626879,103.082374831799,103.07286457059,0.999994621796683,0.999996417349326,0.999994154064997,0.999994717082523,0.999994910236186,1.17926749331416e-06,9.32372049431103e-07,1.33487967403076e-06,1.42139948054995e-06,1.03183753637312e-06,2.2071044402925e-06,9.88063437596006e-07,2.20060444251543e-06,1.5949550505411e-06,2.17719076472275e-06,1.543660959199e-06,1.23475248477359e-06,1.89569352145838e-06,1.3072158569176e-06,1.48475793569432e-06,thinking right
103.2210189716,103.13985766352,103.068276775768,103.078713309233,103.075284595384,0.999969070727106,0.999992781159598,0.999977490763477,0.999986279596666,0.999974228479711,5.55553498767913e-06,1.38313215421464e-06,1.82623730395368e-06,1.31605917063984e-06,3.95252440057381e-06,9.54885910524785e-06,1.42510065202662e-06,1.18724105606263e-05,3.89130298169898e-06,9.72615587148054e-06,9.9625828410584e-06,1.43317043977312e-06,7.00676572181306e-06,4.77533551364499e-06,9.56308400170486e-06,eye left
103.63176789901,103.09486746832,103.123329371789,103.066984580119,103.560436800394,0.99970904807415,0.999991977418582,0.999989224673537,0.999991539975697,0.99962313083999,0.000160990799800776,1.80256383244223e-06,2.43019154002761e-06,2.2041756461963e-06,0.000190759999227981,1.88075929922896e-05,2.8916592840466e-06,3.33499374429058e-06,2.58776771902668e-06,2.72648471656767e-05,1.69573433346835e-05,2.51556787820953e-06,4.01588595275054e-06,2.5940245364914e-06,1.03918824332717e-05,eye brown
103.145503739804,103.162085785007,103.10909188181,103.108180519151,103.10878108548,0.999978435290169,0.999991195250123,0.999984635740389,0.99998794533618,0.999978927277212,5.86990173081286e-06,2.97879909850683e-06,1.77698543361799e-06,4.35620952844177e-06,3.19966082203599e-06,5.61882032391291e-06,2.50902711561769e-06,9.44347072202192e-06,4.18148417396269e-06,6.30069441952176e-06,7.04275252090409e-06,1.30833695169749e-06,2.27871416224266e-06,1.64602641760619e-06,9.17311972591403e-06,eye brown
103.108986710704,103.127491834031,103.07334155033,103.089337210148,103.097858751485,0.999966389553177,0.999974218313081,0.999967118093048,0.999963617292133,0.99996874398788,7.89052861345803e-06,5.17912391477241e-06,6.82597552920518e-06,8.04005296889225e-06,7.47797696467798e-06,7.07954784121229e-06,4.45238869160275e-06,7.29844289449226e-06,8.07206417803066e-06,6.97116407760504e-06,3.90772567156772e-06,2.96811017998606e-06,3.81622917854396e-06,4.80297571437836e-06,3.23999931643299e-06,normal
103.119892147256,103.13990055126,103.095453871012,103.106071693448,103.120109828115,0.999996067213623,0.999997013696923,0.999995792081996,0.999996170830286,0.999995468176987,8.25276917646762e-07,6.70980459674337e-07,7.46123429338202e-07,8.29601431012003e-07,8.68855323303258e-07,1.34360755222745e-06,1.02865025467221e-06,1.67983061133111e-06,1.42415571850834e-06,1.35619704462398e-06,1.25737307522242e-06,9.33232431920601e-07,1.40419425189965e-06,1.20358345868331e-06,1.72180660410455e-06,normal
103.160033530612,103.127529019101,103.068054432554,103.086689631741,103.116649174273,0.999991642877541,0.999987137772145,0.99999142857775,0.999987892469478,0.999992076033315,2.59672535312541e-06,3.31961345239322e-06,2.64977941238589e-06,4.63487146897471e-06,2.56557439865175e-06,2.45412772560513e-06,1.91902906762493e-06,2.80097549567107e-06,2.66783576604085e-06,2.1505316556184e-06,2.13692383140691e-06,4.16899614502736e-06,1.8132009340747e-06,1.26874278114913e-06,2.11311836504505e-06,smile
103.056269104435,103.091612403151,103.073852093025,103.072497748548,103.039968652952,0.999994185347393,0.999997869394011,0.999995306886507,0.999994703592962,0.999994942044592,1.38791094022445e-06,7.14743823400501e-07,1.63649491058667e-06,1.56476387106405e-06,1.23776786999477e-06,1.96649110825757e-06,6.21553229313841e-07,1.74455163404224e-06,1.57427936996486e-06,1.83670866123886e-06,1.75039068010113e-06,4.15997846086561e-07,6.7021419363047e-07,9.1234154068739e-07,1.42508699693147e-06,eye left
103.124538254847,103.10805958912,103.076477541915,103.064768288744,103.144475414199,0.999994181511237,0.999996877491035,0.999993685986128,0.999995415571689,0.999993462999544,9.59807560207661e-07,4.78624996505884e-07,1.00592618543106e-06,1.04374227153514e-06,1.0508408744673e-06,2.44782529675535e-06,1.31105605546841e-06,3.52992760571897e-06,2.50589150265049e-06,3.11379561683352e-06,2.10497295466843e-06,1.1399310369289e-06,1.44899778941161e-06,7.33933833926375e-07,2.06898577848419e-06,thinking left
103.118337938423,103.129283381305,103.088534833186,103.117365142773,103.12683247791,0.999989866084225,0.999977906024489,0.999986770652216,0.999983704458236,0.999989638502191,3.2957218683792e-06,3.89918310725805e-06,4.15637715972316e-06,5.88193653709828e-06,3.38605379405508e-06,3.38938178229195e-06,4.52827808640904e-06,4.99313486904939e-06,5.79859851946437e-06,3.38700321823859e-06,1.80952837617705e-06,1.09952108689321e-05,2.08554057348689e-06,2.13711636056489e-06,2.0765748051798e-06,smile
103.782833922634,103.642952200886,102.991850438491,102.362939482562,103.277753476474,0.999921412164368,0.999958298636798,0.999918117807274,0.999902563098974,0.999922585008414,4.8129915965666e-05,3.04926037915517e-05,5.04562360287838e-05,7.32927626907108e-05,4.60581141125038e-05,7.84199582956619e-06,1.88681320605563e-06,1.47866795477786e-05,3.99084275576337e-06,8.32524535049953e-06,9.4401609136266e-06,9.84861730762806e-07,3.23884541648976e-06,2.13975549974104e-06,1.06993077948881e-05,close eye
103.192698913423,103.150837146167,103.1134008773,103.120449433659,103.219409491351,0.999996184243781,0.999997882991797,0.999995553757146,0.999995646970617,0.999995241650094,9.07442736172054e-07,5.18195763209794e-07,1.05244093510141e-06,1.28262595142426e-06,1.17207029977124e-06,1.4845269109744e-06,8.73495084412165e-07,2.01399514261212e-06,1.72936077111127e-06,1.86950370058122e-06,1.11097186561757e-06,5.10055843824395e-07,1.02685241771517e-06,7.20075739846152e-07,1.31151459293472e-06,thinking foward
103.105040061185,103.096070315576,103.08672745761,103.10209620033,103.100738364688,0.999993418494141,0.999996522044342,0.999991544988803,0.999992288754244,0.999994157739896,1.08377078714621e-06,8.14399763203453e-07,1.50223515519746e-06,2.33250917570953e-06,1.07441889082434e-06,2.27974841842618e-06,8.81098832163974e-07,2.74603369604608e-06,2.1241044903944e-06,2.32999096343558e-06,2.01596680002824e-06,7.06369085135516e-07,2.79755518063008e-06,1.45577835825267e-06,1.94758337818441e-06,thinking foward
103.112800434707,103.22436010362,103.120907631506,103.096195174688,103.090525507042,0.999992925219152,0.999993320312819,0.99999301018347,0.999994915974211,0.999994277319582,1.86827809776173e-06,1.99596605656588e-06,1.92614866587918e-06,1.63876126842849e-06,1.67733243091161e-06,2.21081838107908e-06,1.66608125941591e-06,2.2935586479399e-06,1.2785732405496e-06,1.65109427832589e-06,2.07900891736465e-06,2.32217840760785e-06,1.73594165822781e-06,1.19048518068763e-06,1.54248470118957e-06,thinking backward
103.124301319651,103.208801929695,103.062577764345,103.0803722019,103.101328033013,0.999940865012559,0.999960134885391,0.999929275404674,0.999964216469275,0.999953072832636,2.192470623052e-06,1.42190885529012e-06,1.95691787391379e-06,1.58454351203902e-06,2.42571022869542e-06,4.74091153944997e-06,1.86887584478133e-06,2.20969074378281e-05,2.41726119714094e-06,4.6368042142484e-06,1.61687570845794e-05,2.02240736864473e-06,1.26542284353265e-05,2.2293253068789e-06,9.71672348633273e-06,thinking backward
103.017289091972,102.948745336526,103.008967501192,103.009051957656,103.029477467526,0.999965451682359,0.999980521342941,0.99997496678832,0.999922404490399,0.999965593250031,8.97535743379074e-06,8.56822138233356e-06,9.94405835470722e-06,3.85322535252411e-05,9.06666906777623e-06,8.623534352858e-06,3.76859138269369e-06,6.00897031292204e-06,1.06903508574883e-05,8.95768483676269e-06,1.04588206875652e-05,2.11424641298786e-06,2.31594548474575e-06,3.3466905606128e-06,9.86221383693401e-06,smile
103.149315584642,103.12115090398,103.100483769702,103.095378420671,103.120622083875,0.999986655821662,0.999993053515889,0.999987057415841,0.999990001594223,0.999986145964207,2.1431075067982e-06,2.28733531092006e-06,2.20763854500188e-06,2.76372935704724e-06,1.71868976157735e-06,7.33281083598186e-06,1.73857358340744e-06,7.79309199204384e-06,3.6326546503829e-06,7.73991562353824e-06,2.84561817184426e-06,9.44465086323833e-07,1.72298304500893e-06,2.09489932642306e-06,3.7061259458917e-06,close eye
103.144879012839,103.158508102091,103.05536217774,103.074146369258,103.148695889282,0.999969377688871,0.999977442184041,0.999941340611661,0.999971618729684,0.999972624676567,4.15819270944271e-06,2.63720920096138e-06,2.51400278650566e-06,3.44333074125243e-06,3.6408523470148e-06,7.36534406066849e-06,3.41031826119609e-06,3.84277534976167e-06,5.75816752473144e-06,6.05834169992137e-06,7.64928278927204e-06,4.16619248302965e-06,3.52090419550068e-06,4.92712227872474e-06,5.59436669900636e-06,thinking left
103.055113264459,103.098385406481,103.090034465039,103.100029703522,103.068205514198,0.999996198509129,0.999998257513267,0.999996678328298,0.999995784783948,0.999995794711956,9.16700206640916e-07,5.12124499760099e-07,8.71220111722175e-07,1.14680290281958e-06,8.92038530461119e-07,1.18100013978246e-06,4.25783350918953e-07,9.44521477396432e-07,1.18354892454415e-06,1.20903163414173e-06,1.33767684639413e-06,4.68284738846997e-07,1.0610821850322e-06,1.24775763966473e-06,1.72376749319485e-06,eye right
103.214755040512,103.284233649265,103.274160675612,103.263919091789,103.251686696134,0.999952622674075,0.999984882847543,0.999983502027154,0.999981454862053,0.999954284138733,1.91297733229114e-05,3.00877256028102e-06,4.18959185891332e-06,4.13943881148911e-06,1.54462758119913e-05,6.13207895786552e-06,2.68386355526408e-06,3.633255310731e-06,4.15376570106481e-06,7.30005427849919e-06,1.02984797987666e-05,6.04185229731689e-06,6.96641682666699e-06,6.92793429022475e-06,1.31121107578814e-05,eye brown
103.10134795067,103.113280140914,103.095190066877,103.094824856192,103.092128435846,0.999959727780502,0.999960152135627,0.999953696477,0.999959240203352,0.999966264929317,1.40660102607563e-06,5.97508797859074e-07,1.60923679279149e-06,9.41182510090554e-07,1.22023615705935e-06,2.08614212444401e-06,8.03004060330978e-07,3.05696182417472e-06,1.47047674962295e-06,1.6406956141789e-06,4.18710048649592e-06,7.61720146738631e-07,2.36900856292188e-06,1.00046156641924e-06,1.98039628621438e-06,thinking foward
103.146121520051,103.098930981153,103.056358600024,103.103829106103,103.138855392029,0.999990630934775,0.999996553383719,0.999989577484169,0.999995454650496,0.99999150522423,2.22297692321414e-06,1.25385386472391e-06,1.94996501924139e-06,1.5255036386737e-06,1.52734102292749e-06,2.96368227892456e-06,1.01947012131363e-06,5.50996703271792e-06,1.29022171806103e-06,2.89693747442825e-06,3.01516389226591e-06,6.00576398118998e-07,2.3006129978536e-06,9.33617178497612e-07,3.57181911933696e-06,normal
103.214104428032,103.206996819203,103.167228009004,103.146221289444,103.164291658049,0.99996376797174,0.999952271662354,0.999973350390904,0.999980118394363,0.999974292703681,4.95795776668338e-06,1.85910414015332e-05,4.40112294431274e-06,5.74300447280072e-06,5.75209478678655e-06,5.92782974371128e-06,5.75375900335563e-06,5.24623424129128e-06,5.68843822502402e-06,5.65226027898332e-06,2.31595485643615e-05,5.05543668278457e-06,5.19972346958008e-06,5.38419522079456e-06,1.17661300574214e-05,smile
103.082880219889,103.091271072793,103.08732269617,103.08925750151,103.074363487408,0.999976550496412,0.999991688169539,0.999969163686886,0.999974446641479,0.999977071204873,7.53193571247845e-06,2.86556914281142e-06,9.88042117007088e-06,8.89055493868993e-06,7.56814650043995e-06,1.0016987459016e-05,3.17060102745484e-06,1.48085741355195e-05,1.14076115519853e-05,1.01266478194789e-05,3.08091151039364e-06,8.32370188077973e-07,1.70412466966796e-06,1.60335148243343e-06,2.37681879526906e-06,thinking backward
103.145299478737,103.107115505526,103.087407099952,103.096001356181,103.134712621926,0.999989677990842,0.999993917344514,0.999992943072014,0.999993304096923,0.999991664678637,1.36750988604731e-06,1.02052071990115e-06,1.05567423661401e-06,1.01888923956778e-06,1.30571119442398e-06,3.39178386245005e-06,1.61473120582202e-06,3.2665926706201e-06,2.05284489672508e-06,2.73177940943279e-06,5.01949392267227e-06,1.77660318373849e-06,2.2923986987938e-06,2.03831473018081e-06,3.88820149078544e-06,eye left
103.121137230316,103.111763905645,103.100413983291,103.099570263831,103.107624860285,0.999993441320416,0.999996726400761,0.999992318560558,0.999994535291122,0.999992076263563,1.04673044044918e-06,6.91732413237232e-07,1.23961741984655e-06,8.64236570269588e-07,9.25548242109011e-07,2.24141006554766e-06,1.02454917452231e-06,3.27068490259361e-06,2.42536676224003e-06,3.41807299526012e-06,2.42301539682759e-06,7.0361568602804e-07,2.02735185215729e-06,1.24507629148596e-06,3.14255502104093e-06,thinking left
103.07112911895,103.11183409095,103.107998638077,103.118699305032,103.090758741934,0.99999520888548,0.999997852489042,0.99999369559894,0.99999464739323,0.999994532679428,1.2437748685914e-06,5.68837282415477e-07,1.02288169780451e-06,1.22387225336635e-06,1.24523644291226e-06,2.13221333991872e-06,8.76406173106905e-07,2.887198000463e-06,1.980534275502e-06,2.3656700249125e-06,1.09335271523462e-06,5.14239624458662e-07,2.14479640352597e-06,1.54283209998239e-06,1.51744619164292e-06,thinking backward
103.14174667223,103.208694982576,103.097823521877,103.081035305125,103.121440023916,0.999952667930393,0.99999230903682,0.999979859240145,0.999990164811923,0.999971293265505,1.59733632436899e-06,1.38594715135602e-06,1.97267352995152e-06,2.33897816822669e-06,2.0212303727493e-06,1.0374898647729e-05,1.25681129774766e-06,8.73056712221953e-06,1.23165478582794e-06,6.98853092149595e-06,3.07582575864938e-05,8.40559661203199e-07,5.64313178729953e-06,2.04109960771616e-06,1.60993188885195e-05,thinking right
103.112513486068,103.076703212875,103.092520417454,103.076053047491,103.076792007288,0.999979072578525,0.999989318900171,0.999988309596164,0.999938959817021,0.99997559052419,3.43662750028338e-06,4.4052766911695e-06,2.58058384952547e-06,2.74200336670924e-05,3.50893864984667e-06,5.46261641111241e-06,2.33346841175389e-06,5.05815584280585e-06,1.09682833293651e-05,7.02320896244281e-06,9.83930905001407e-06,1.16438772387903e-06,1.89436555381175e-06,2.36119770677557e-06,1.13294993294865e-05,smile
103.100001914282,103.097343773415,103.087266638555,103.107420231337,103.092828824599,0.999987260524785,0.999990432406351,0.999991334670277,0.999988098655109,0.999990622530328,3.47043131804112e-06,3.80276493537686e-06,1.49661375552931e-06,3.98874000861365e-06,1.65207566527811e-06,2.8354375952453e-06,2.26366199359834e-06,4.05499101820847e-06,2.80604228724553e-06,2.95122585874818e-06,4.58043272391504e-06,1.05919761482111e-06,2.06518863743455e-06,2.4409394611219e-06,3.95653283845296e-06,thinking left
103.145439135984,103.131799987143,103.088158788257,103.108657341471,103.123809315402,0.999990674124664,0.999993814879731,0.999991054819364,0.999991684711377,0.999991533740002,1.18680464757714e-06,1.00286903797676e-06,1.39485821463757e-06,1.30822674669602e-06,1.09596030072484e-06,2.90703680746379e-06,1.6721407663345e-06,3.38315049733599e-06,2.57110742216209e-06,2.86989143292489e-06,4.79069303770181e-06,3.18803962264668e-06,3.62921532983675e-06,3.96068594972534e-06,4.09576720459017e-06,thinking right
103.0940250879,103.149445227248,103.100121653193,103.097548599238,103.079089043567,0.999991778550936,0.999995293882467,0.999992553042091,0.999992896017476,0.999990871984775,1.1284648744639e-06,8.16014498628989e-07,1.15653399832486e-06,1.22488757597905e-06,1.16588543398261e-06,2.90065197924351e-06,1.76240133234361e-06,3.57069444785991e-06,2.74955087442331e-06,3.37770649639279e-06,3.70978620066248e-06,1.65299449542594e-06,2.13993404668279e-06,2.66513801153298e-06,4.13250671930238e-06,thinking backward
103.082767286198,103.08647056813,103.133248783527,103.13383143765,103.085692145199,0.999992850727251,0.999996231835964,0.999991066464863,0.999991429313252,0.999991758376118,1.19405067701006e-06,6.10788136889952e-07,1.35247359811468e-06,1.54569291952248e-06,1.41165816066998e-06,2.96078257590001e-06,1.6464898982431e-06,5.55089868817411e-06,4.5637737453386e-06,3.96924461416568e-06,2.63785270739443e-06,1.23774800496361e-06,1.53181154783243e-06,1.98336894497962e-06,2.43422048275531e-06,thinking backward
103.037417570847,103.068719090395,103.05015829891,103.065869292361,103.027025180853,0.999990500419719,0.999996474757442,0.999984745431155,0.999991835836781,0.999992039703462,1.7153915015459e-06,9.53011191134872e-07,3.82454406941625e-06,2.8984089386856e-06,1.64545451405786e-06,3.79877367007317e-06,1.47222679135555e-06,8.10005347809548e-06,2.92951264520819e-06,3.29277401400109e-06,3.2258935224449e-06,6.65175890767536e-07,1.78085143313416e-06,1.10429088223195e-06,2.41462008024599e-06,thinking backward
103.11111611947,103.104217700405,103.10447364519,103.101710432242,103.09836370363,0.999956584486968,0.999995920251891,0.999989260618889,0.999984895163023,0.999985064818163,1.91157611620069e-05,9.89835752739349e-07,1.56774874777128e-06,6.30077502495045e-06,3.08294361492349e-06,6.18043016953169e-06,1.38947897532051e-06,5.21869627085473e-06,2.61272000156057e-06,5.28725530466842e-06,5.20560429495954e-06,1.04771592825434e-06,3.30722767890072e-06,1.98019313490286e-06,4.37604973536262e-06,eye brown
103.161528238625,103.14562215696,103.077516441205,103.176148438452,103.166304249738,0.999987867378426,0.999996487634085,0.999975118225136,0.999991304014331,0.999987755499801,1.99501804253143e-06,8.31941718389055e-07,3.76947445754912e-06,1.99629620106553e-06,2.05229863016303e-06,4.76533976439055e-06,1.30728651543555e-06,8.85272886069678e-06,3.00253438262674e-06,4.60811256555015e-06,4.82900338327487e-06,1.06180787860818e-06,4.90614637416122e-06,2.76347317726119e-06,5.04301154094859e-06,close eye
103.169990653918,103.174893571224,103.064917034641,103.062265265711,103.149628913659,0.999969986793198,0.999976708320608,0.999977460791171,0.999967237044031,0.99996890313107,2.36627052713835e-06,1.38675002719331e-06,2.05452582419533e-06,2.23786578620312e-06,2.26131222556802e-06,4.50492806376956e-06,2.16544459956178e-06,4.37441534617954e-06,4.32631276750898e-06,4.40351386282994e-06,5.1441139699062e-06,2.2595417308539e-06,3.99970852090557e-06,4.48829726857093e-06,5.43246142011955e-06,thinking right
103.133867765486,103.109127712924,103.09182051014,103.102049392252,103.127525990788,0.999992466439646,0.999997149771338,0.999987776087029,0.999993006481357,0.999992488442946,1.18260426941832e-06,6.31226964649654e-07,1.84411022276004e-06,1.81514593803654e-06,1.09166900108916e-06,4.46631698708814e-06,9.98054688900929e-07,8.5353481950417e-06,2.74446111079772e-06,4.63856037586888e-06,1.33646374177115e-06,7.55876827433062e-07,1.45745379712513e-06,1.34818503265244e-06,1.27897131775926e-06,close eye
103.450396892111,103.173904031098,103.197327281121,103.183920309511,103.282947736444,0.99924522413908,0.999983584725156,0.999994432166931,0.999955424345887,0.999820251469723,8.00077714839386e-05,5.18506690811644e-06,1.21188237941641e-06,2.20087633921767e-05,5.11468540051323e-05,4.78283636838927e-05,4.33810521538401e-06,2.21916948851425e-06,4.05456996832299e-06,1.24142645238172e-05,0.000572020199004925,2.81677984766817e-06,1.67663296109841e-06,2.35726574123141e-06,7.97501684992511e-05,eye brown
103.044829949789,103.098689501609,103.089130954463,103.115067465398,103.079342657786,0.999995824964876,0.999998222160705,0.999995979787622,0.999995717509566,0.999995545048552,7.28980949016538e-07,5.341442489864e-07,8.51131676898682e-07,1.26185679462871e-06,8.23442538132619e-07,9.50466947874705e-07,5.09802227446615e-07,1.4149715336495e-06,1.32511227711558e-06,9.34002998764976e-07,2.16566358150838e-06,4.40582449101989e-07,1.428783211953e-06,1.01024814439207e-06,2.35887829768298e-06,eye right
103.122222491486,103.114504772059,103.108009059776,103.10096195483,103.121409998298,0.999944220219616,0.999939153083622,0.999932904294293,0.999937961982359,0.999963300577941,3.41770807025153e-06,1.07708592038348e-06,1.6276554162712e-06,1.05100207074455e-06,1.29094591159436e-06,2.22689167911313e-06,7.48927197658311e-07,3.08995292482729e-06,1.70329134916266e-06,2.40421506879372e-06,3.55202296922766e-06,5.54657640384769e-07,1.74850146773641e-06,1.12619030014821e-06,2.73452342862082e-06,thinking left
103.176717392083,103.159963696619,103.06105047775,103.123172597344,103.130072078107,0.99998023066737,0.999995336460663,0.999986635329465,0.999990881979918,0.999984774143736,2.2867968814738e-06,1.51641976568868e-06,4.4921378500325e-06,3.36010869185076e-06,2.26146807739646e-06,3.19530038372983e-06,1.4747735714238e-06,5.2826661184997e-06,2.86957795549964e-06,3.08449453047546e-06,1.31733730327336e-05,9.66605293637594e-07,1.3981300700996e-06,1.2641799939534e-06,8.82299712820027e-06,eye right
103.090151294498,103.123957867378,103.122351381896,103.092260880442,103.082242793509,0.999988469047397,0.999995330099853,0.999987638245906,0.999991852126669,0.999990195869448,1.77229045875871e-06,1.22817175305966e-06,3.07499491674604e-06,2.49587118232551e-06,1.88600388253303e-06,3.17974823165552e-06,2.042953633536e-06,6.11228871696343e-06,2.78672992759957e-06,3.02564784915581e-06,5.77962577436939e-06,6.13243140060578e-07,1.18650532655128e-06,1.61066331603005e-06,4.09674512953148e-06,eye right
103.177345052266,103.174609318877,103.085030332341,103.149941714992,103.161746511736,0.999996428227494,0.999996665684446,0.99999542725539,0.999996808724257,0.999996677009064,8.10313186590357e-07,1.00375304850527e-06,9.56769644279347e-07,8.06607221971754e-07,7.38131785200621e-07,1.34017391222283e-06,8.31416877277624e-07,1.74214411085116e-06,9.96887063542766e-07,1.21828064475529e-06,1.00070649282564e-06,9.59569639397958e-07,1.3649304479827e-06,8.92582076874524e-07,1.0029509226668e-06,thinking right
103.168288235969,103.197297207788,103.094454487227,103.104573995516,103.126786526781,0.999967916544022,0.999993600629317,0.999939020231578,0.999984744940536,0.999975620863259,2.65003478986748e-06,1.20718227127297e-06,4.26712802561138e-06,1.2293971004514e-06,2.69988094272569e-06,1.04709802661063e-05,9.79714367232671e-07,4.10944145559386e-05,3.48975085132606e-06,1.08459073200569e-05,1.21813780844253e-05,1.1085301958902e-06,1.24406736965833e-05,3.71559658448574e-06,9.78524363488654e-06,close eye
103.147033582365,103.102794434913,103.096370319404,103.118456690647,103.152161387016,0.999978112177926,0.99999671968643,0.999988396280328,0.999983384154187,0.999991296987549,4.78317604148825e-06,1.08487350863339e-06,2.09994442849799e-06,7.64119243576212e-06,2.05079196285051e-06,5.41191111028449e-06,9.78826744532969e-07,5.46338572343643e-06,2.13358526148287e-06,2.56614833384843e-06,8.49839925874106e-06,6.07695778259066e-07,3.0685716144209e-06,1.16871930107564e-06,2.98967011057801e-06,eye right
103.06533690514,103.154423401044,103.103470137726,103.061603105194,103.071337472818,0.999934695200909,0.999957586787972,0.999944632207566,0.999945974002567,0.999939923259041,1.12023680951454e-05,7.88189986492735e-06,1.01761578030903e-05,9.96243235092385e-06,1.02046829907444e-05,1.98554800707015e-05,1.2897075104429e-05,1.72586877081628e-05,1.67098866150534e-05,1.79365165254471e-05,2.70049629867642e-05,1.60991172749157e-05,2.12199482351841e-05,2.09535683388096e-05,2.54274488886521e-05,thinking backward
103.10425503653,103.1093410786,103.076178140269,103.125095789452,103.130462156538,0.999991231146433,0.999995271699075,0.99998761636193,0.999993229714424,0.999991423601904,1.99933454357675e-06,1.03476007306726e-06,2.1691733956223e-06,1.68988838910551e-06,2.05130655722803e-06,3.74543924490263e-06,1.89751311932815e-06,7.59924538182294e-06,3.24277272741115e-06,3.94309303928988e-06,2.21397758175913e-06,1.3218889595929e-06,1.70744274065185e-06,1.27479931903531e-06,1.89218870503497e-06,open eye
103.129238423546,103.113839083018,103.13002772716,103.139227583876,103.155811556696,0.999994205372228,0.999997018334107,0.999992823183575,0.999993811903073,0.999993272558432,9.56800193148011e-07,5.34423085146883e-07,1.1983934942227e-06,1.56417210051185e-06,1.15133200981743e-06,2.59515730560878e-06,1.51488149442304e-06,3.69547377766795e-06,2.78499270203985e-06,2.82471259749606e-06,1.92890428033234e-06,7.19493790449268e-07,1.97629062607438e-06,1.24933002036168e-06,2.34505385977974e-06,thinking foward
103.090878838263,103.143260791985,103.062816560505,103.097155651095,103.100093061319,0.999991710960908,0.999992193674188,0.999994733622971,0.999994658920383,0.999994220401265,2.76805791017845e-06,2.86385655615122e-06,1.13035408585078e-06,1.59149851438914e-06,1.4201514943006e-06,1.66655285861406e-06,1.59709171249303e-06,1.96890897147465e-06,1.22177866681752e-06,1.6054314550477e-06,1.87028638153852e-06,1.18241805468392e-06,1.25285530713224e-06,8.69329267887394e-07,1.55148617168666e-06,eye left
103.140563429514,103.129324962283,103.091818601785,103.103172396304,103.147530272771,0.99999176319092,0.999994979347083,0.999994061889407,0.999994688971837,0.999988436219031,1.20617041422705e-06,6.04826509040555e-07,1.00685055073042e-06,9.08705903525644e-07,1.32440004255857e-06,4.18128908091099e-06,1.87954199733989e-06,2.35062109923664e-06,2.23102036231746e-06,5.79375105224154e-06,2.29988438912793e-06,1.96978858957865e-06,1.97080884070005e-06,1.55400162372598e-06,3.86784980735099e-06,eye right
103.127211963172,103.121824675135,103.124527503127,103.145826446748,103.105385327602,0.999993194691061,0.999997807250666,0.999993898947037,0.999992319350654,0.999993259048086,1.26473387846845e-06,5.07756227681236e-07,1.09266604477308e-06,1.74495371800901e-06,1.51998341459788e-06,2.4076977547208e-06,9.54018373748903e-07,3.19024532586341e-06,3.87552750747083e-06,2.33170046280743e-06,2.79837039067769e-06,5.22385590852467e-07,1.48961036752621e-06,1.13401487482897e-06,2.36996892956074e-06,eye right
103.106854273944,103.221730169534,103.083847577273,103.092995324721,103.096250947896,0.999905593964716,0.999949009656525,0.999921374647282,0.999912656894108,0.999961946424851,3.52431951246646e-06,2.09389959351936e-06,2.50489962234744e-06,2.77262436234911e-06,3.83973529509543e-06,7.77107711684465e-06,1.05965418073639e-06,1.88747215243601e-05,4.31181886712102e-06,8.68590999652361e-06,8.24002610682091e-06,9.24936205712343e-07,8.97298445127526e-06,3.48391834796302e-06,7.2804649320024e-06,smile
103.063087661822,103.128363869588,103.075088180465,103.086141673803,103.068957959474,0.999957115162687,0.999969783486822,0.999962093616447,0.999966005505997,0.999959840960921,7.84034739148741e-06,6.31540123870912e-06,7.60175408741034e-06,7.41917096072452e-06,7.694364403172e-06,1.26867115961029e-05,7.1566495472811e-06,1.27116150338696e-05,9.22030138500224e-06,1.27792865320309e-05,7.68823046766646e-06,4.5164852311665e-06,7.11862167981463e-06,4.43177735648611e-06,5.85273319698698e-06,open eye
103.112669989621,103.261865888336,103.089627643262,103.101813413776,103.082568632484,0.999983475686496,0.999972793082325,0.999972168733605,0.999987374613123,0.999986163409805,1.44347451041918e-06,2.31043366804395e-06,2.12085305995847e-06,2.1346180541968e-06,1.53165558904101e-06,3.84664409617193e-06,3.53411430846187e-06,1.37048406472666e-05,2.38424070793634e-06,4.11198203543849e-06,5.3098087661189e-06,1.62171399250974e-05,6.91352811134646e-06,2.52598648206715e-06,3.7995761586748e-06,thinking right
