E_1,E_2,E_3,E_4,E_5,Era_1,Era_2,Era_3,Era_4,Era_5,Erd_1,Erd_2,Erd_3,Erd_4,Erd_5,Erd_6,Erd_7,Erd_8,Erd_9,Erd_10,Erd_11,Erd_12,Erd_13,Erd_14,Erd_15,mainclass
103.152183719101,103.114935984777,103.099709288382,103.10014433017,103.135166031509,0.999991374295889,0.999997411776868,0.999987758698628,0.999993731851729,0.999991175562357,1.10661011345134e-06,6.25909492866808e-07,1.65759682826618e-06,1.73038830835503e-06,1.00277349717137e-06,5.85990018121142e-06,8.5864090566828e-07,8.60336632045428e-06,2.6416965530415e-06,5.85668367436317e-06,1.17986110294494e-06,5.9237204910881e-07,1.62610131417847e-06,7.40027047981293e-07,1.53191563093991e-06,close eye
103.015147693596,103.107827953572,103.101420722503,103.13006714094,103.100507873917,0.999988847045927,0.999996384809924,0.999987737844957,0.999976935712028,0.999991140203528,2.9102500586771e-06,1.26898149631774e-06,3.51470394080616e-06,9.69632028902239e-06,2.36601546596331e-06,3.1427279103877e-06,1.01103350160808e-06,5.779337814476e-06,2.97586559037596e-06,2.8044160425972e-06,3.9784256478076e-06,5.92600594365867e-07,1.38052367001267e-06,1.57513144556555e-06,2.78821215734745e-06,eye right
103.140688484032,103.153517548598,103.103458767852,103.098594452394,103.123276405565,0.999977562876754,0.999997968560829,0.999994753831757,0.999993493203036,0.99997926999706,1.18900453969752e-06,5.42887898506694e-07,1.3567466341774e-06,1.9986932418079e-06,2.00551335543874e-06,7.77349361760999e-06,4.99961600938778e-07,1.90202418566612e-06,1.74913132168889e-06,6.17650959646409e-06,1.29720159393397e-05,6.19898505898396e-07,1.4718576008431e-06,1.56508525975115e-06,1.11429633333542e-05,eye right
103.178157529941,104.402946929376,103.098144753265,103.111828182395,103.137616755558,0.999958745950415,0.999971211419295,0.999965877773552,0.999972888965107,0.999967960486156,1.31051915084186e-06,1.59262517341685e-06,1.9072932825781e-06,1.7935846286046e-06,1.3576890925979e-06,5.87963018359449e-06,2.38213317450925e-06,4.77126842263758e-06,1.09101668076032e-06,4.33449592622163e-06,8.26140054880001e-06,4.51239345877867e-06,2.36787080168906e-06,1.50279800764426e-06,5.4847790461667e-06,thinking left
103.06579482377,103.109332126101,103.100770351981,103.111832355253,103.070000368889,0.999996596348783,0.999998092427439,0.999995619289515,0.99999591105933,0.999996401933038,8.02303198195115e-07,5.60076563831169e-07,1.28141104519223e-06,1.50951629538209e-06,8.95946918950895e-07,1.36287730055331e-06,5.06370198102598e-07,1.72890700160328e-06,1.21960614445197e-06,1.36132777899798e-06,9.55435540521069e-07,5.5218838213676e-07,9.69615365311451e-07,6.99205276360681e-07,1.04530700889941e-06,eye right
103.020817852537,103.119549423893,103.08807769003,103.096483896955,103.014029097414,0.999957205372034,0.99997480479519,0.999965414774945,0.999969466355362,0.999959280160729,4.49299936278529e-06,3.05231796784035e-06,4.25182658881371e-06,3.9288068969469e-06,4.31562400991783e-06,1.09890476757301e-05,3.45711718255285e-06,9.52375337618324e-06,5.70555229410969e-06,1.04915106157638e-05,9.73007605229015e-06,4.08493158064248e-06,8.16259623549607e-06,5.48790679916272e-06,9.47540921472981e-06,open eye
103.115669590154,103.101346985347,103.11746085268,103.105225300326,103.055285110536,0.999986452389385,0.999992605672754,0.999986958976535,0.999984488917813,0.99998613933412,4.08869076637179e-06,2.61121089874302e-06,3.88208940382754e-06,4.75417440228331e-06,4.15303383838431e-06,4.56661788485027e-06,1.87537985665195e-06,4.29468174044184e-06,6.20020033461118e-06,4.68914434269833e-06,2.10032975910892e-06,9.43284436108971e-07,2.10093908135824e-06,1.64471354404864e-06,2.35728838111508e-06,eye left
103.074963625246,103.043614159076,103.058818099158,103.068271186891,103.065164602425,0.999993613906978,0.999996393690155,0.999995557212066,0.999996370279613,0.999994577301957,1.59178527367234e-06,6.70775984264706e-07,8.01019097388199e-07,6.89909679005526e-07,8.26485215922747e-07,1.72947499024406e-06,7.00774030388634e-07,1.39591896358188e-06,8.49929543779263e-07,1.45584854448594e-06,1.71480673424647e-06,1.2606975858848e-06,1.19825148991714e-06,8.58857380903424e-07,1.96149645901005e-06,thinking left
103.113223057526,103.141316990104,103.107047414125,103.120567322316,103.117839142626,0.999968589233357,0.999978194119789,0.999970426535916,0.999974093889336,0.999971151411583,7.7736469286681e-06,6.11126013755115e-06,7.3796242507718e-06,7.09015148146572e-06,7.441163747046e-06,1.12218968709012e-05,7.58247504319704e-06,1.03288410441995e-05,8.95535721274441e-06,1.043859480277e-05,8.22724366464033e-06,4.98257071419192e-06,8.18258093327973e-06,6.01257088954194e-06,6.9673016277691e-06,eye right
103.173576436381,103.184923368514,103.109479211909,103.147927582949,103.284394154925,0.999991823231252,0.999996846460808,0.999975650773987,0.999993622508893,0.999992189040739,1.32816951322661e-06,5.25399804949502e-07,3.4790164183972e-06,1.14005152566218e-06,1.24738421837313e-06,4.01016249327473e-06,1.31122729795044e-06,1.79519276382813e-05,2.60417362450435e-06,3.84772260868691e-06,1.85775236429807e-06,7.31912123667729e-07,1.78355553225839e-06,1.13407414220745e-06,1.50919650429681e-06,close eye
