solver, activation, hidden1, hidden1, PCA, class, training_accuracy, testing_accuracy
lbfgs, identity,30, 40, off, class1, 0.9094533029612756, 0.9136363636363637
lbfgs, identity,30, 40, off, class2, 0.7186788154897494, 0.7181818181818181
lbfgs, identity,30, 40, off, class3, 0.5130979498861048, 0.5045454545454545
lbfgs, identity,30, 40, off, class4, 0.4123006833712984, 0.35
lbfgs, identity,40, 1, on, class1, 0.9066059225512528, 0.9227272727272727
lbfgs, identity,40, 1, on, class2, 0.7203872437357631, 0.7454545454545455
lbfgs, identity,40, 1, on, class3, 0.47095671981776766, 0.4340909090909091
lbfgs, identity,40, 1, on, class4, 0.20387243735763097, 0.20454545454545456
lbfgs, identity,40, 1, off, class1, 0.9134396355353075, 0.8977272727272727
lbfgs, identity,40, 1, off, class2, 0.715261958997722, 0.7295454545454545
lbfgs, identity,40, 1, off, class3, 0.46867881548974943, 0.47045454545454546
lbfgs, identity,40, 1, off, class4, 0.23917995444191345, 0.2636363636363636
lbfgs, identity,40, 15, on, class1, 0.9134396355353075, 0.9022727272727272
lbfgs, identity,40, 15, on, class2, 0.7272209567198178, 0.6772727272727272
lbfgs, identity,40, 15, on, class3, 0.5079726651480638, 0.4954545454545455
lbfgs, identity,40, 15, on, class4, 0.42312072892938496, 0.36818181818181817
lbfgs, identity,40, 15, off, class1, 0.9066059225512528, 0.9136363636363637
lbfgs, identity,40, 15, off, class2, 0.7312072892938497, 0.7113636363636363
lbfgs, identity,40, 15, off, class3, 0.5148063781321185, 0.4636363636363636
lbfgs, identity,40, 15, off, class4, 0.4271070615034169, 0.34545454545454546
lbfgs, identity,40, 25, on, class1, 0.9134396355353075, 0.8977272727272727
lbfgs, identity,40, 25, on, class2, 0.7323462414578588, 0.7068181818181818
lbfgs, identity,40, 25, on, class3, 0.5113895216400911, 0.509090909090909
lbfgs, identity,40, 25, on, class4, 0.4276765375854214, 0.37272727272727274
lbfgs, identity,40, 25, off, class1, 0.9162870159453302, 0.8977272727272727
lbfgs, identity,40, 25, off, class2, 0.7232346241457859, 0.7227272727272728
lbfgs, identity,40, 25, off, class3, 0.5148063781321185, 0.45227272727272727
lbfgs, identity,40, 25, off, class4, 0.4048974943052392, 0.3840909090909091
lbfgs, identity,40, 30, on, class1, 0.9157175398633257, 0.8954545454545455
lbfgs, identity,40, 30, on, class2, 0.724373576309795, 0.7159090909090909
lbfgs, identity,40, 30, on, class3, 0.5148063781321185, 0.4636363636363636
lbfgs, identity,40, 30, on, class4, 0.4191343963553531, 0.3522727272727273
lbfgs, identity,40, 30, off, class1, 0.908883826879271, 0.9204545454545454
lbfgs, identity,40, 30, off, class2, 0.7249430523917996, 0.7318181818181818
lbfgs, identity,40, 30, off, class3, 0.5108200455580866, 0.47954545454545455
lbfgs, identity,40, 30, off, class4, 0.41116173120728927, 0.3886363636363636
lbfgs, identity,40, 40, on, class1, 0.9117312072892938, 0.8954545454545455
lbfgs, identity,40, 40, on, class2, 0.7249430523917996, 0.7
lbfgs, identity,40, 40, on, class3, 0.5108200455580866, 0.4909090909090909
lbfgs, identity,40, 40, on, class4, 0.4157175398633257, 0.3431818181818182
lbfgs, identity,40, 40, off, class1, 0.9168564920273349, 0.8863636363636364
lbfgs, identity,40, 40, off, class2, 0.7266514806378133, 0.7022727272727273
lbfgs, identity,40, 40, off, class3, 0.5039863325740319, 0.5068181818181818
lbfgs, identity,40, 40, off, class4, 0.43451025056947606, 0.36363636363636365
lbfgs, logistic,15, 1, on, class1, 0.9908883826879271, 0.8613636363636363
lbfgs, logistic,15, 1, on, class2, 0.8883826879271071, 0.7181818181818181
lbfgs, logistic,15, 1, on, class3, 0.64749430523918, 0.4954545454545455
lbfgs, logistic,15, 1, on, class4, 0.4060364464692483, 0.2727272727272727
lbfgs, logistic,15, 1, off, class1, 0.9874715261958997, 0.8477272727272728
lbfgs, logistic,15, 1, off, class2, 0.9168564920273349, 0.7477272727272727
lbfgs, logistic,15, 1, off, class3, 0.6395216400911162, 0.4863636363636364
lbfgs, logistic,15, 1, off, class4, 0.4293849658314351, 0.22954545454545455
lbfgs, logistic,15, 15, on, class1, 1.0, 0.8568181818181818
lbfgs, logistic,15, 15, on, class2, 0.9988610478359908, 0.775
lbfgs, logistic,15, 15, on, class3, 0.8849658314350797, 0.5431818181818182
lbfgs, logistic,15, 15, on, class4, 0.7722095671981777, 0.4159090909090909
lbfgs, logistic,15, 15, off, class1, 0.9982915717539863, 0.8886363636363637
lbfgs, logistic,15, 15, off, class2, 0.9982915717539863, 0.7613636363636364
lbfgs, logistic,15, 15, off, class3, 0.8912300683371298, 0.46136363636363636
lbfgs, logistic,15, 15, off, class4, 0.7790432801822323, 0.42954545454545456
lbfgs, logistic,15, 25, on, class1, 0.9977220956719818, 0.884090909090909
lbfgs, logistic,15, 25, on, class2, 1.0, 0.7818181818181819
lbfgs, logistic,15, 25, on, class3, 0.9612756264236902, 0.5340909090909091
lbfgs, logistic,15, 25, on, class4, 0.8821184510250569, 0.47045454545454546
lbfgs, logistic,15, 25, off, class1, 1.0, 0.8636363636363636
lbfgs, logistic,15, 25, off, class2, 0.9994305239179955, 0.7659090909090909
lbfgs, logistic,15, 25, off, class3, 0.9345102505694761, 0.5681818181818182
lbfgs, logistic,15, 25, off, class4, 0.8980637813211845, 0.4431818181818182
lbfgs, logistic,15, 30, on, class1, 1.0, 0.8931818181818182
lbfgs, logistic,15, 30, on, class2, 1.0, 0.7863636363636364
lbfgs, logistic,15, 30, on, class3, 0.994874715261959, 0.5159090909090909
lbfgs, logistic,15, 30, on, class4, 0.9236902050113895, 0.425
lbfgs, logistic,15, 30, off, class1, 0.9931662870159453, 0.8681818181818182
lbfgs, logistic,15, 30, off, class2, 1.0, 0.7613636363636364
lbfgs, logistic,15, 30, off, class3, 0.979498861047836, 0.5340909090909091
